"Area","Centroid_1","Centroid_2","Perimeter","Circularity","Eccentricity","Solidity","MinorAxisLength","MajorAxisLength","Concentration","Time","Enumeration","rare"
1189,768.7670311,1642.057191,147.293,0.660231574,0.332340396,0.935483871,37.97869988,40.26752578,1000,7,28,"n"
1764,813.3798186,415.4331066,214.606,0.467521643,0.278068476,0.913043478,47.11824859,49.05283072,1000,7,29,"n"
1074,811.1629423,1718.883613,150.097,0.574748486,0.748424903,0.917948718,30.32160068,45.7187984,1000,7,30,"n"
1305,849.6291188,926.0022989,168.234,0.558370463,0.369476762,0.90625,40.03957629,43.08852134,1000,7,31,"n"
1253,895.273743,1340.07103,150.742,0.664930571,0.141746519,0.947089947,39.86638469,40.2730219,1000,7,32,"n"
3363,978.9753197,1065.793637,277.368,0.537082864,0.863388999,0.879445607,47.85325741,94.84553839,1000,7,33,"n"
1454,973.8700138,1312.099725,182.409,0.5307006,0.442721912,0.928480204,41.13307886,45.8737159,1000,7,34,"n"
1503,983.0093147,242.0299401,179.507,0.566156091,0.311744082,0.92152054,43.0771082,45.33639746,1000,7,35,"n"
1409,994.3122782,1881.329312,162.436,0.645829277,0.519434344,0.923934426,39.55619763,46.29106829,1000,7,36,"n"
1334,1014.2009,1801.653673,165.356,0.590443428,0.42520291,0.915579959,39.64936851,43.80671065,1000,7,37,"n"
1467,1097.575324,1328.239945,172.592,0.596939617,0.476420742,0.922641509,41.03188729,46.66864671,1000,7,38,"n"
2575,1108.905243,544.0493204,305.314,0.340096216,0.856020442,0.801930863,44.6739945,86.41974698,1000,7,39,"n"
1323,1118.050642,1828.524565,158.309,0.637808674,0.329174596,0.927769986,40.49420575,42.88418082,1000,7,40,"n"
1422,1182.701828,150.6715893,186.883,0.494868534,0.326006973,0.895465995,42.18629924,44.62423904,1000,7,41,"n"
1185,1183.315612,1882.778059,161.973,0.546207048,0.480358136,0.908045977,37.21057002,42.42588001,1000,7,42,"n"
1131,1190.923077,863.4703802,137.915,0.714308291,0.330097875,0.952822241,36.92949633,39.12243765,1000,7,43,"n"
1084,1188.29059,363.0212177,168.606,0.461804148,0.733945529,0.908633697,30.83969371,45.40535238,1000,7,44,"n"
1697,1230.247496,1732.803182,180.118,0.634977406,0.390111369,0.937569061,44.93422214,48.80082472,1000,7,45,"n"
1338,1324.538117,594.2832586,158.21,0.645831858,0.487127226,0.932404181,38.97701136,44.63028405,1000,7,46,"n"
1011,1324.652819,1254.442136,157.896,0.489898918,0.708842951,0.893109541,30.44958762,43.16847283,1000,7,47,"n"
1633,1334.763625,420.5235762,605.08,0.055471816,0.907772563,0.509675406,42.72061494,101.8460352,1000,7,48,"y"
1530,1328.301307,673.8509804,157.11,0.748680611,0.275619506,0.946782178,43.85911121,45.62636572,1000,7,49,"n"
1367,1327.485735,1502.978786,161.708,0.632124498,0.389871349,0.935660507,40.76362839,44.26646307,1000,7,50,"n"
1366,1367.984627,880.8279649,152.14,0.71190265,0.370769542,0.951916376,40.38554254,43.4849355,1000,7,51,"n"
1222,1368.337971,1381.158756,142.687,0.722097266,0.340021971,0.947286822,38.44386897,40.87957667,1000,7,52,"n"
1368,1383.409357,640.0131579,146.276,0.770003132,0.301830727,0.953974895,40.81031876,42.80676046,1000,7,53,"n"
2167,1393.902169,1129.159668,237.118,0.471744996,0.859334011,0.842534992,39.54359048,77.32195754,1000,7,54,"n"
1543,1397.821776,1703.847051,170.202,0.645297828,0.40817369,0.930639324,42.86035251,46.94944812,1000,7,55,"n"
1397,1433.562634,1421.335004,156.63,0.687712853,0.389408234,0.935073628,41.17110593,44.69944463,1000,7,56,"n"
1270,1449.73937,1340.486614,173.908,0.509124177,0.268732736,0.916967509,39.97666275,41.50337338,1000,7,57,"n"
1732,1471.050808,1447.256928,198.735,0.534054796,0.259603412,0.920786816,47.14197562,48.81560322,1000,7,58,"n"
2628,1481.586758,1573.288813,311.376,0.333845356,0.883681769,0.81640261,42.45254322,90.69347689,1000,7,59,"n"
1332,1514.210961,901.713964,144.382,0.769114729,0.347787334,0.958273381,39.9368362,42.59595478,1000,7,60,"n"
4070,1602.6543,838.7019656,430.897,0.271486088,0.942571322,0.74473925,46.37007839,138.8305147,1000,7,61,"n"
3059,1676.166067,234.2687153,324.253,0.358629769,0.902902434,0.770334928,45.43496117,105.7006674,1000,7,62,"n"
1177,1671.518267,1732.346644,162.66,0.538033021,0.45158172,0.911696359,37.36644609,41.87984713,1000,7,63,"n"
1539,1710.703054,1412.569201,188.968,0.524023039,0.462268009,0.921005386,42.16539646,47.55101169,1000,7,64,"n"
1722,1717.175377,412.9308943,168.267,0.736508618,0.278500881,0.949283352,46.28728765,48.19403783,1000,7,65,"n"
1469,1733.202859,55.85772634,149.418,0.793145051,0.392044464,0.958251794,41.90358618,45.55003654,1000,7,66,"n"
1243,1736.933226,1741.445696,153.289,0.638318764,0.244255757,0.932483121,39.30649387,40.53424175,1000,7,67,"n"
1417,1754.287932,638.042343,152.206,0.737854379,0.31586267,0.944037308,41.78777753,44.04253888,1000,7,68,"n"
1181,1768.437765,1098.500423,158.186,0.570220012,0.585765282,0.924823806,35.65927656,43.99768518,1000,7,69,"n"
1382,1775.586831,419.670767,153.843,0.70469931,0.363372855,0.945927447,40.57422567,43.55122172,1000,7,70,"n"
1156,1884.512111,235.4437716,147.947,0.636362159,0.694370851,0.930008045,32.82826641,45.61905949,1000,7,71,"n"
1874,54.27534685,715.981857,167.158,0.811992901,0.410417778,0.96053306,46.763958,51.28202726,1000,1,1,"n"
1252,75.0471246,1181.269968,155.34,0.626406909,0.765432645,0.927407407,32.32525127,50.2322403,1000,1,2,"n"
1705,95.83870968,678.0029326,173.552,0.686266256,0.196515337,0.922120065,46.76644482,47.69649058,1000,1,3,"n"
1096,92.76642336,1806.659672,120.82,0.89628499,0.409330559,0.972493345,35.71652278,39.14627884,1000,1,4,"n"
1754,107.7844926,535.3939567,160.22,0.825922953,0.526292938,0.97336293,43.61333357,51.29150073,1000,1,5,"n"
1405,135.3060498,1158.974377,137.708,0.889969243,0.358322084,0.970303867,40.89829693,43.80717992,1000,1,6,"n"
1638,164.1428571,1856.004274,163.825,0.738353933,0.426867062,0.934398175,44.04516217,48.705586,1000,1,7,"n"
1601,200.9643973,54.23173017,166.522,0.698914222,0.370296626,0.949021932,43.56698615,46.90101195,1000,1,8,"n"
1787,212.0962507,375.7028539,168.308,0.76394396,0.337161018,0.955104222,46.95297057,49.87319598,1000,1,9,"n"
1730,225.1751445,543.2959538,170.5,0.721021883,0.398366672,0.932614555,45.73681023,49.86426216,1000,1,10,"n"
1402,221.0306705,1566.050642,147.087,0.780643378,0.395720242,0.956996587,40.53345895,44.13625238,1000,1,11,"n"
1632,225.7916667,921.6605392,158.251,0.787340917,0.241645522,0.94828588,45.5452737,46.93624857,1000,1,12,"n"
1398,237.5007153,599.1659514,147.765,0.771437256,0.417738019,0.958190541,40.26019309,44.31172365,1000,1,13,"n"
1785,249.1596639,650.6436975,171.253,0.737534015,0.227381197,0.942947702,47.60023771,48.8806252,1000,1,14,"n"
1716,279.1282051,1381.952797,159.177,0.818447093,0.283027427,0.952803998,46.26615974,48.23854629,1000,1,15,"n"
1827,283.1472359,750.3377121,157.168,0.893365939,0.326016892,0.979099678,46.92703839,49.63912439,1000,1,16,"n"
1065,284.3089202,468.9295775,124.343,0.823462963,0.308181743,0.956873315,35.96029416,37.8001205,1000,1,17,"n"
1270,289.6417323,556.215748,130.851,0.888898154,0.357316126,0.964312832,38.89493132,41.64413091,1000,1,18,"n"
1833,301.3475177,958.6846699,168.068,0.785807448,0.418281977,0.948266943,46.53685033,51.23413809,1000,1,19,"n"
1673,336.6640765,1714.591751,161.973,0.771142946,0.306861415,0.963154865,45.17417633,47.46412042,1000,1,20,"n"
1731,363.8567302,1091.257077,162.651,0.791364721,0.187097378,0.948493151,47.36097867,48.21234249,1000,1,21,"n"
1863,380.108964,242.3462158,167.506,0.803937685,0.347808741,0.953428864,47.75445173,50.93452285,1000,1,22,"n"
1358,388.0346097,320.1067747,139.105,0.843385033,0.337902951,0.96039604,40.37836555,42.90180884,1000,1,23,"n"
1416,411.8721751,862.0621469,149.254,0.766175575,0.286084329,0.958700068,41.62307816,43.4386194,1000,1,24,"n"
1310,418.3648855,523.5877863,147.03,0.729970965,0.640207696,0.94858798,35.94624219,46.79270359,1000,1,25,"n"
1457,437.2539465,1505.074125,149.658,0.784196723,0.640053162,0.955409836,37.95354066,49.39740707,1000,1,26,"n"
1613,463.7954123,584.7458153,149.551,0.869377293,0.169833971,0.967606479,45.02558575,45.6893288,1000,1,27,"n"
1610,466.9149068,1162.386335,156.482,0.794038532,0.450095711,0.943728019,43.4798382,48.69070153,1000,1,28,"n"
1045,475.0449761,1234.113876,138.312,0.656293632,0.630208977,0.937219731,32.27293825,41.56604323,1000,1,29,"n"
